Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Product ID,Product Name,Category,Sub-Category,Region,State,City,Sales,Profit,Quantity,Discount,Ship Mode,Salesperson,Payment Method
ORD-101480,02-27-2023,,JB-16175,James Brown,Consumer,OFF-FA-4261,Acme Standard Fastener,Office Supplies,Fasteners,east,New Jersey,Newark,50.32,3.76,6,0.3,First Class,James Webster, PayPal
ORD-101069,"Apr 29, 2023",05/01/2023,DZ-65392,Derek Zuniga,corporate,TEC-PH-3390,Canon Pro Phone,Technology,Phones,West,California,Los Angeles,"$2,784.42",-134.78,4,0.5,First Class,Zachary Mendoza,gift card
ORD-106302,12/07/2024,2024-12-13,KS-89457,Katie Suarez,Home Office,TEC-CO-4918,Canon Portable Copier,Technology,Copiers,East,New York,New York City,7088.9,-345.83,7,0.5,Standard Class,James Webster,Credit Card
ORD-112563,2022-02-06,02-10-2022,AJ-47450,Ariana Jennings,Consumer,OFF-ST-3298,Fellowes Compact Storage, Office Supplies,Storage,East,New York,Buffalo,$396.81,55.29,3,0.15,Standrad Class,Renee Melendez,Gift Card
ORD-101724,"Nov 17, 2025",11-24-2025,YB-67154,Yvonne Burns,CONSUMER,FUR-CH-7291,Bush Executive Chair, Furniture, Chairs,Central,Illinios,chicago,"$1,437.74",35.85,6,0.3,Same Day,Michael Morrison,Credit  Card
ORD-103240,"Jul 29, 2024",29/07/2024,EM-55870, Ellen Morgan,CONSUMER,TEC-AC-2712,Apple Ergonomic Accessorie,Technology,Accessories,Central,Illinois,Springfield,23029.6,7889.12,10,0.0,Standard Class,Andrew Harper,Credit Card
ORD-102696,12-08-2024,13/12/2024,CM-76317,Craig Morrison,Home Office,FUR-CH-4804,Novimex Heavy-Duty Chair,Furniture,Chairs, East,New Jersey, Newark,3401.56,-16.67,8,0.15,FIRST CLASS,Justin Walker ,Credit Card
ORD-109475,06-26-2022,2022-07-03,MP-18675,Mark Perez,consumer,OFF-SU-5341, Xerox Ergonomic Supplie,Office Supplies,Supplies,EAST,Pennsylvania,Philadelphia,505.70,42.1,5,0.5,Secnod Class,Kyle Chambers,PAYPAL
ORD-102833,"Aug 07, 2025","Aug 13, 2025",VH-45614,Vanessa Howard,Corporate,TEC-CO-1693,Samsung Ergonomic Copier,Technology ,Copiers,central,Illinois,Springfield,13684.7,4480.25,12,0.5,First Class, Kyle Chambers,PayPal
ORD-100723,09-07-2023,09/07/2023,MR-40340,Meghan Rush,CORPORATE,OFF-AR-8037,Fellowes Heavy-Duty Art,Office Supplies,art,south,Florda,Orlando,$424.24,6.07,8,0.0, Standard Class,Emma Butler,Gift  Card
ORD-111293,11/09/2025,2025-11-16,JA-93507, Julie Alexander,CORPORATE,TEC-PH-8039,Epson Premium Phone,Technology,Phones,East, New Jersey,Newark,"12,718.28",2982.81,12,0.15,SAME DAY,Robert Jackson,Gift Card
ORD-105679,09-04-2025,"Sep 09, 2025",GK-69087,Gwendolyn Klein,Consumer,OFF-EN-2768,Fellowes Classic Envelope,Office Supplies,Envelopes,East ,New Jersey, Newark,16.2,315.72,1,0.2,SECOND CLASS,Robert Jackson,Cash 
ORD-102650,04/22/2025,2025-04-26,KN-67125,Kimberly Nguyen,Corporate,TEC-AC-8054,Apple Portable Accessorie,technology,Accessories,SOUTH,Florida,Orlando,"3,869.61",26.25,2,0.15, Standard Class,William David DDS,Cash
ORD-103912,08-17-2024,08-24-2024,MW-81426,Michele Williams,Corporate,OFF-FA-6179,Acme Classic Fastener, Office Supplies,FASTENERS,East,New Jersy,Newark,737.02,164.79,11,0.4,second class,Joseph Howard,Bank Transfer
ORD-101389,06/05/2024,2024-05-12,MF-81643,Maria Fisher, Consumer,TEC-AC-2475,Lenovo Deluxe Accessorie,Technology,Accessories, West,Oregon,Eugene,"$7,641.00",2230.69,10,0.4,second class,Samuel Turner, Debit Card
ORD-111510,06/25/2025,"Jul 01, 2025",BB-70332,Brandon Bailey MD,Corporate ,OFF-PA-6427,Fellowes Adjustable Paper,Offce Supplies,Paper,West,Oregeon,Eugene,$230.85,64.86,9,0.0,First Class,Emma Butler,Bank Transfer
ORD-104349,2025-09-12,14/09/2025,MM-80697,Matthew Mcmillan,Home Office,OFF-ST-4968,Acme Classic Storage,office supplies,Storage,Central ,Illinois,Chicago,$74.59,17.14,3,0.15,Same Day,Samuel Turner,Gift Card
ORD-106108,03-20-2024,03-25-2024,JA-51145,Jasmin Alvarado,home office,TEC-CO-4531,Epson Compact Copier,technology,Copiers,Central,Illinois,Chicago,$725.45,213.51,3,0.2,SAME DAY,Robert Jackson,Cash
ORD-111558,2022-11-06,12/11/2022,WH-38864,William Herrera, Consumer,OFF-ST-5712,XEROX DELUXE STORAGE,Office Supplies,Storage ,Central, Ohio,Columbus,161.81,1.12,1,0.3,Second Class,Renee Melendez,Debit Card
ORD-109450,08-22-2025,2025-08-28,DW-80702,Debra White,Consumer,FUR-BO-1862,Hon Portable Bookcase,Furniture,Bookcases,East,Pennsylvannia,Pittsburgh,1398.5,103.76,12,0.4,Second Class,Amber Yang,Cash 
ORD-100099,09-02-2025,2025-09-05,RM-40495,Ryan Munoz,Home Office,OFF-PA-7021,Newell Compact Paper,Office Supplies,Paper,West ,oregon,EUGENE,298.61,-5.78,10,0.15,first class,Robert Dennis,Credit Card
ORD-102941,01/11/2025,2025-11-08,DM-92727,David Molina,Home Office,FUR-FU-3962,Bush Standard Furnishing,Furnture,Furnishings,Central,Illinios,Chicago,"4,831.74",371.64,8,0.2,Same Day,Travis Hobbs,PayPal
ORD-103397,07-02-2025,"Jul 09, 2025",RL-49132,Raymond Le,Home Office,TEC-PH-9409,Lenovo Standard Phone,Tech,Phones,EAST, New Jersey,Newark,7234.4,1215.09,6,0.15,SECOND CLASS,Emma Butler,Bank Transfer
ORD-102102,05/27/2024,2024-05-27,JK-34586,Jessica Khan,Home Office,FUR-TA-7767,Bevis Portable Table,Furniture,Tables,Central,illinois,Springfield,"3,599.29",1003.89,8,0.3,Same Day,Renee Melendez,Bank Transfer
ORD-111583,11/29/2025,01/12/2025,JR-78146,Joshua Reed,Home Office,TEC-CO-3999,Dell Executive Computer,technology,Computers,South,Florida,Miami,"$1,852.85",526.99,5,0.0,FIRST CLASS,Joseph Howard,Cash
ORD-110493,12-18-2022,"Dec 19, 2022",KE-22217,Kim Erickson ,Consumer,OFF-EN-2768,Fellowes Classic Envelope,Office Supplies,Envelopes,South,GEORGIA,Savannah,$80.92,-4.93,8,0.5,Same Day,Amber Yang ,Debit Card
ORD-103672,2024-07-08,15/07/2024,CC-92155,casey chase,Home Office,TEC-MA-3762,HP Portable Machine,Technology,Machines,WEST, Washington,Seattle,"$16,060.00",,11,0.0,first class,David Robinson,Gift Card
ORD-101599,24/08/2025,08-25-2025,WB-50687,William Barrett,Consumer,TEC-PH-4839,Epson Ergonomic Phone,Technology,Phones,South,GEORGIA,Savannah,"$15,127.04",277.36,8,0.0,Frist Class,Pamela Gutierrez, Gift Card
ORD-104063,09-07-2025,09-09-2025,MM-15778,Melissa Martinez,Consumer,TEC-CO-3267,Canon Heavy-Duty Computer,Technology,Computers,South,FLORIDA,Tampa,986.11,-122.47,11,0.4,FIRST CLASS,Jennifer Hernandez,Gift Card
ORD-109069,2024-08-16,,SM-15014,Susan Murray MD,Consumer,OFF-LA-4396,Acme Compact Label,Office Supplies,Labels,South,Georiga,Savannah,302.5,-5.92,5,0.5,Second Class,Robert Jackson,Credit Card
ORD-106991,2022-06-28,07/01/2022,AC-43289,Amber Cooper ,CORPORATE,OFF-LA-1357,Acme Executive Label,Office Supplies,Labels,Central,Illinois,Chicago,"1,021.86",90.64,7,0.1,Second Class,CONNIE TURNER,PayPal
ORD-101896,12-08-2023,11/12/2023,JJ-23173,Jonathan Jacobson, Corporate,TEC-PH-5668,Canon Portable Phone,TECHNOLOGY,Phones,South, Florida,Miami,"6,063.33",1009.52,5,0.3, Same Day,Larry Harris,Credit Card
ORD-103562,24/05/2024,26/05/2024,MB-44760,Michelle Brown,Corporate ,TEC-MA-8088,Logitech Standard Machine ,Technology,Machines,West,Oregon,Eugene,18254.5,353.33,12,0.3,Second Class,Renee Melendez,Credit Card
ORD-104133,08/06/2022,,VB-92719,VICTOR BAKER,Consumer,OFF-AR-2847, Fellowes Adjustable Art,office supplies,Art,central,Texus,Austin,$47.06,7.81,4,0.4,Second Class,pamela gutierrez,N/A
ORD-104170,05/28/2024,2024-06-04,WB-30033,William Baker,Home Office,OFF-FA-2734,Avery Adjustable Fastener,Office Supplies,Fasteners,Central,Ohio,Cleveland,923.6,283.22,7,0.0,Second Class,Joseph Howard,Credit Card
ORD-100918,2022-10-26,2022-10-27,KM-10726,N/A, Consumer,OFF-AR-1372,Acme Deluxe Art,office supplies,Art,West ,Washington,Spokane,973.8,-126.34,9,0.4,STANDARD CLASS,Amber Yang, PayPal
ORD-112032,23/03/2023,03/30/2023,SG-70068,SAMANTHA GARCIA, Home Office,TEC-CO-4770,Epson Portable Computer,Technology,Computers,West,California,San Diego,7094.85,1321.96,4,0.15,First Class,Robert Dennis, Bank Transfer
ORD-101668,15/09/2025,22/09/2025,KG-96511,Krista Gibson,CONSUMER,OFF-ST-8179,Acme Heavy-Duty Storage,Office Supplies,Storage,West,washington,Seattle,585.21,6.78,6,0.5,Same day ,Kristen Rowe, Bank Transfer
ORD-104035,02-07-2023,2023-02-12,RM-67912,Rodney Morales,home office,FUR-FU-1962,Bush Portable Furnishing,Furniture,Furnishings,East,New Jersey,Jersey City,2747.3,-277.03,7,0.2,Standard Class,Justin Walker,CASH
ORD-107603,09/05/2025,07/09/2025,DS-49651,Daniel Salinas, Home Office,TEC-MA-7438,Samsung Standard Machine,Technology,MACHINES,East,New York,Albany,20388.6,-1704.17,11,0.0,Standard Class,Katherine Stark,DEBIT CARD
ORD-107933,2025-12-10,2025-12-13,BS-50404,Benjamin Smith,Corporate,OFF-LA-7487,Newell Deluxe Label,Office Supplies,Labels,west,WASHINGTON,Spokane,252.2,48.64,5,0.1,Second Class,Maria Henry,Cash 
ORD-108024,"Feb 23, 2024","Feb 23, 2024",LA-67905,Lisa Allen ,CORPORATE,FUR-TA-5967,Bevis Wireless Table,Furnture,Tables,West,California,San Diego,"$2,589.12",41.24,3,0.0, Second Class,Felicia Krueger,Credit Card 
ORD-106680,11/03/2024,11-03-2024,AS-87397,Abigail Shaffer,CORPORATE,OFF-SU-2854,Boston Portable Supplie,Office Supplies,Supplies,Central,ohio,Columbus,492.1,88.7,4,0.1,Frist Class,Maria Henry,paypal
ORD-105906,12/04/2023,"Dec 06, 2023",SM-42953,Sarah Moore,Home Office,FUR-FU-1962,Bush Portable Furnishing,Furnture,Furnishings ,Central,Texas,houston,"2,085.01",-104.68,5,0.15,Standard Class,renee melendez,Credit Card 
ORD-102727,20/10/2024,2024-10-21,AB-27154,Ashley Barton,Home Office,OFF-ST-2943,Newell Wireless Storage,Office Supplies ,Storage,West,Washington,Spokane,1198.35,-4.37,9,0.0,first class,Robert Jackson,
ORD-102564,2024-04-16,04/21/2024,TH-28131,Tracy House,Home Office,FUR-TA-9625,Bush Premium Table,furniture,Tables,Central,TEXAS,houston,1645.31,-120.56,8,0.2,Standard Class,Joseph Howard,Gift Card
ORD-100265,04/08/2025,08/11/2025,JC-70901,Jordan Chambers,Home Office,OFF-AR-2344,Newell Executive Art,Office Supplies, Art,East ,New Jersey,Jersey City,$314.24,44.16,2,0.2, Same Day,Kyle Chambers,Debit Card
ORD-111740,09/05/2025,,TC-29410,Theresa Clark ,Corporate,TEC-CO-1025, Dell Adjustable Computer,TECHNOLOGY,Computers,Central, Texas,Houston,"4,932.80",-320.03,8,0.0,Standard Class,Justin Walker,BANK TRANSFER
ORD-111359,"Jan 26, 2024","Jan 26, 2024",JH-64165,Julie Herrera,Consumer,TEC-PH-2374, HP Compact Phone,Technology,Phones,, Oregon,Portland,696.52,-67.11,1,0.0,Same Day,Robert Jackson,cash
ORD-102579,04-14-2025,15/04/2025,AG-63523,Anthony Gonzales,Corporate,OFF-ST-2077,Boston Executive Storage,OFFICE SUPPLIES,Storage,East, Pennsylvania,Philadelphia,$901.40,228.53,10,0.5,SAME DAY,Connie Turner,CASH
ORD-105813,2025-06-13,06/13/2025,DD-55309, Denise Davenport,Home Office,FUR-CH-2381,Bevis Wireless Chair,Furniture,Chairs,,New York,New York City,402.82,84.42,1,0.15,Frist Class,William Harrison,Debit Card
ORD-101820,10-10-2024,"Oct 15, 2024",BF-40595,Brian Fitzgerald,Corporate,OFF-FA-4261, Acme Standard Fastener,Office Supplies,Fasteners ,West , California, San Diego,59.9,0.0,5,0.0, Standard Class,Amber Yang,Debit Card
ORD-100803,2023-01-13,01/14/2023,DS-65724,Dawn Summers,Consumer,FUR-FU-4984,Global Heavy-Duty Furnishing,Furniture,Furnishings,EAST,New Jersey,Newark,1604.9,238.33,3,0.4,same day,Zachary Mendoza,Bank Transfer
ORD-105645,2022-04-30,"May 01, 2022",HW-44687,Heather Williams,Home Office,OFF-FA-7070, Fellowes Standard Fastener,Office Supplies,Fasteners,Central,Illinois,Springfield,368.6,88.58,7,0.15,Standard Class,Larry Harris,Credit Card 
ORD-100293,06-07-2024,2024-06-07,PC-13552,,Consumer,TEC-MA-6053,Lenovo Portable Machine,Technology,Machines,,Ohio,Columbus,10202.5,2775.72,12,0.15, First Class,Robert Dennis,Cash
ORD-102966,03/10/2022,08/10/2022,JC-88697,Jennifer Collins,Consumer ,OFF-SU-9824,3M Premium Supplie,Office Supplies,SUPPLIES, Central,Illinois, Springfield,$832.32,-87.74,12,0.0,Standard Class,Andrew Harper,Credit Card
ORD-104103,04/01/2024,"Jan 07, 2024",DS-65724, Dawn Summers,consumer,OFF-PA-4070,3M Executive Paper,OFFICE SUPPLIES,Paper,Central ,Illinois,Chicago,580.90,70.98,9,0.5,Second Class,Joseph Howard ,Cash
ORD-102234,"Jan 15, 2023",19/01/2023,DF-20322,Deborah Figueroa,Consumer ,TEC-MA-8951,Logitech Heavy-Duty Machine, Technology,Machines,East,Pennsylvania,Pittsburgh,9397.5,-272.46,6,0.3,Same Day,Robert Dennis,debit card
ORD-107924,04/04/2024,"Apr 09, 2024",CR-19171,Cynthia Rowe,Home Office,OFF-PA-4974,Newell Ergonomic Paper,Office Supplies,Paper,Central,Ohio,Columbus,802.88,-16.66,10,0.2,Same Day,David Robinson,Bank Transfer
ORD-105283,07/27/2024,2024-07-28,LA-78522,Lawrence Adkins,Corporate,OFF-EN-3281,3M Heavy-Duty Envelope ,office supplies,Envelopes,South,Georgia,Atlanta,857.44,150.09,5,0.15,Same Day,DAVID ROBINSON,NULL
ORD-107424,11-24-2023,11/29/2023,ML-51245,Michael Lewis,consumer,OFF-SU-7698,Avery Compact Supplie,Offce Supplies,Supplies,West,California,Los Angeles,1449.9,NULL,9,0.0,Second Class,Emma Butler, Debit Card
ORD-109977,09-01-2024,"Sep 04, 2024",CM-65069,Cynthia Morris,corporate,OFF-LA-6404,3M Premium Label,Office Supplies,Labels,East,PENNSYLVANIA,Pittsburgh,339.88,-2.06,6,0.1, Same Day,Suzanne Wood,Cash
ORD-106041,11-12-2023,17/11/2023,EB-11330,Emily Bennett,Home Office,OFF-FA-9037,Xerox Ergonomic Fastener, Office Supplies,Fasteners,East, New Jersey,Jersey City,$687.92,99.19,11,0.3,Second Class,Amber Yang, Gift Card
ORD-103549,04-06-2023,04-09-2023,JB-48175,James Bradley ,Consumer ,OFF-EN-6222,Acme Portable Envelope,Offce Supplies,Envelopes,South,Florida,Orlando,229.11,-26.84,5,0.4, Same Day,Kristen Rowe, Gift Card
ORD-107016,01/08/2022,08/08/2022,JR-81376,Jodi Roach,consumer,OFF-AR-6736,Acme Executive Art ,office supplies,Art,East,Pennsylvania,Pittsburgh,"1,070.33",-32.22,7,0.2,Same Day,Pamela Gutierrez,gift card
ORD-111050,"Jun 01, 2022","Jun 03, 2022",SW-75836,Sherry Woods,Home Office ,TEC-CO-1981,Epson Ergonomic Computer,Technology ,Computers,West, Oregon,Eugene,746.2,240.68,2,0.0,Second Class,Nathaniel Lee,PayPal
ORD-100228,10-20-2024,2024-10-27,AM-59009,Aimee Montoya, Consumer,OFF-ST-6620,Xerox Compact Storage,Office Supplies ,Storage,East,New York,New York City,$669.74,53.03,11,0.5,First Class,William David DDS,Credit  Card
ORD-103199,11-07-2022,10/11/2022,RC-28758,Robert Cummings, Consumer,OFF-AR-9047,Boston Compact Art,Office Supplies, Art,central,Ohio,Columbus,10.2,2.48,1,0.5,First Class,Kristen Rowe,Cash
ORD-111784,"May 06, 2025",01/01/2021,LR-31299,Laura Roberts,Consumer,TEC-CO-3999,Dell Executive Computer,Tech,Computers,South ,Florda,Tampa,2668.1,-291.42,9,0.2, First Class,Robert Dennis,Cash
ORD-103281,08/06/2024,08-06-2024,EA-52245,ERICA ALVAREZ,Consumer,OFF-BI-4084,Fellowes Heavy-Duty Binder,Office Supplies,Binders,East,New York,New York City ,118.23,2.79,5,0.4,SECOND CLASS,Amber Yang,Cash
ORD-108130,01/15/2022,01-20-2022,DD-68800, David Douglas Jr., Consumer,OFF-LA-1357,ACME EXECUTIVE LABEL,OFFICE SUPPLIES,Labels,East ,new york,Albany,1459.8,63.91,10,0.1,Secnod Class,Maria Henry, Cash
ORD-101658,2022-01-17,01/24/2022,JA-74340,Jose Allen,Consumer,FUR-FU-2586,Bush Standard Furnishing,Furniture,furnishings,East,New York,Albany,780.91,-73.71,11,0.15,Standard Class ,David Robinson,credit card
ORD-108262,01/02/2022,2022-01-06,BR-87236,Brian Ramirez, Corporate,FUR-BO-6567,Novimex Compact Bookcase, Furniture,Bookcases, West,Washington,Seattle,"$1,025.64",16.61,3,0.0,second class,Ryan Landry,Debit Card
ORD-106473,"Dec 30, 2024",01/01/2025,MM-15075,Matthew Moon,Corporate,OFF-LA-4150,Boston Ergonomic Label,Offce Supplies,Labels,west,Oregon,Portland,106.4,27.66,2,0.3,standard class,Maria Brown,Credit Card
ORD-108640,09/09/2022,,JB-75230,Joyce Brown,home office,OFF-LA-3758,Boston Portable Label,Office Supplies,Labels, Central,Texas,Austin,$442.50,-18.65,12,0.5,Second Class,Felicia Krueger,NULL
ORD-106531,10-25-2025,2025-11-01,DZ-65392,Derek Zuniga,Corporate,TEC-CO-1025,Dell Adjustable Computer,Technology,Computers,West ,washington,Spokane ,739.92,-27.78,2,0.4,Standard Class,Ryan Landry,Pay Pal
ORD-101460,2022-12-22,25/12/2022,CW-79163,Christine Wright,Home Office,OFF-EN-8348,xerox adjustable envelope,office supplies,Envelopes,West,WASHINGTON,spokane,$266.45,-24.69,4,0.3,Standrad Class,Larry Harris,CASH
ORD-107103,"Dec 08, 2025",12/10/2025,ML-51245,Michael Lewis, Consumer,OFF-PA-7868,AVERY CLASSIC PAPER,Office Supplies ,Paper,East, Pennsylvania,Philadelphia,1112.4,134.93,5,0.0, Second Class,Zachary Mendoza,Debit Card
ORD-105710,12/04/2024,2024-12-07,BF-94886,Brandon Fleming,Consumer,TEC-AC-2479,HP Classic Accessorie,Technology, Accessories,South,Florida,Orlando,1277.53,81.21,1,0.0,First Class,Tammy Boone ,Cash
ORD-103758,07/16/2025,"Jul 21, 2025",AW-41571,Aaron Wise,Home Office,TEC-MA-8060,APPLE EXECUTIVE MACHINE,Technology,Machines,Central,Texas,Houston,3717.39,607.67,11,0.5,first class,Joseph Howard ,Gift Card
ORD-101858,04-08-2023,04/15/2023,KM-54657,Katie Mcneil,CONSUMER,TEC-PH-8039,Epson Premium Phone,TECHNOLOGY,Phones,South,GEORGIA,Atlanta,"5,985.07",7.32,8,0.4,First Class,NATHANIEL LEE,Credit Card
ORD-106389,18/05/2022,"May 18, 2022",ML-14705,NULL,home office,FUR-BO-4974,Novimex Heavy-Duty Bookcase,Furniture ,Bookcases,south,Georgia,Atlanta,$438.98,24.17,2,0.5,SAME DAY, Maria Henry, Bank Transfer
ORD-111090,11/23/2024,"Nov 23, 2024",DF-20322,Deborah Figueroa,consumer,OFF-AR-4743, Fellowes Ergonomic Art,Office Supplies,Art,East,New York,New York City,908.0,-128.17,9,0.0,second class,Michael Morrison, Debit Card
ORD-107527,04/29/2022,02/05/2022,KR-24993,Karla Ramos,home office,OFF-LA-4683,Avery Compact Label,OFFICE SUPPLIES,Labels,South,Florida,Miami,$554.02,82.8,6,0.2,STANDARD CLASS,Andrew Harper,credit card
ORD-108539,03/16/2023,03-21-2023,KD-86099,Kristen Davis, Corporate,OFF-BI-6119,Xerox Heavy-Duty Binder,Office Supplies,Binders,West,Oregeon,Eugene,197.1,24.0,4,0.1,First Class,William Harrison,PayPal
ORD-103809,03-12-2023,03/19/2023,AT-89593,Aimee Turner,HOME OFFICE,TEC-CO-8546,Canon Premium Copier,TECHNOLOGY,Copiers,South,Florida,Tampa,"$5,628.88",1622.08,8,0.0,second class,William Harrison,BANK TRANSFER
ORD-102085,2025-07-21,,WE-68529,William Evans,Home Office,OFF-ST-2077,Boston Executive Storage,Offce Supplies,storage,Central,Texus,Houston,$991.54,278.02,11,0.5,Second Class,Kyle Chambers,Debit Card
ORD-108139,09/06/2024,07/09/2024,KN-67125,Kimberly Nguyen,corporate,FUR-TA-6277,Bush Standard Table, Furniture,Tables,West,Oregon,Eugene,4063.4,176.84,6,0.1,first class,Nathaniel Lee,Debit Card
ORD-110522,06/12/2025,"Dec 06, 2025",MM-26704,Matthew Moore,Consumer,TEC-MA-6152,Apple Standard Machine,Technology,Machines,EAST,New Jersey,Jersey City,"$4,109.88",401.63,11,0.3,Same Day,David Robinson,gift card
ORD-100291,12/23/2024,2024-12-30,RC-47700,Randy Cannon,Home Office,TEC-AC-7523,Samsung Deluxe Accessorie,Technology,Accessories,Central ,Texas,Houston,8474.02,1539.97,5,0.3,first class,Renee Melendez,Credit Card 
ORD-110654,06/07/2024,07-13-2024,JG-50026,Jonathan Glass MD, Home Office,FUR-FU-9683,Global Portable Furnishing,furniture,Furnishings,Central,Ohio,Columbus,978.52,224.31,7,0.1,First Class,Kristen Rowe,Gift Card
ORD-103826,11/07/2022,11/13/2022,TM-50189,Tracy Montoya,CORPORATE,TEC-AC-8639,Dell Adjustable Accessorie,Technology,Accessories,East,New Jersey,JERSEY CITY,9109.6,386.55,10,0.0,First Class,William David DDS,Cash
ORD-103628,06/24/2024,2024-06-24,LD-60019,LAUREN DANIELS,Home Office ,OFF-EN-2768,fellowes classic envelope,Office Supplies ,Envelopes,South,Georgia,Savannah,$121.38,11.25,12,0.5,Standard Class,Kyle Chambers,Debit Card
ORD-103755,04-13-2024,04/18/2024,RD-80010,ruben dunn,Consumer,OFF-FA-1674,Acme Heavy-Duty Fastener,Office Supplies,Fasteners,East,New Jersey,Newark,$11.94,2.46,1,0.1,Second Class,Travis Hobbs,paypal
ORD-110817,2024-01-03,01-05-2024,SH-95717,Spencer Haynes,Home Office,FUR-FU-4984,Global Heavy-Duty Furnishing,Furniture,Furnishings, West,Oregon,Eugene,5349.6,799.13,10,0.4, Same Day,Renee Melendez ,PayPal
ORD-109664,22/12/2022,12/25/2022,DW-80702,Debra White,Consumer,OFF-FA-7070,Fellowes Standard Fastener, Office Supplies,Fasteners,West,California,San Francisco,185.85,17.08,6,0.5,Standrad Class,Emma Butler , Gift Card
ORD-112033,2025-03-30,31/03/2025,RL-49132,Raymond Le,Home Office,FUR-BO-9998,Global Pro Bookcase,furniture,Bookcases,East ,New Jersey,Newark,6600.1,714.99,8,0.0,Second Class,David Robinson ,Debit Card
ORD-106173,2023-08-12,08/14/2023,EW-85631,Evelyn Williams, Home Office,OFF-BI-7756,Acme Deluxe Binder,Office Supplies,Binders,East,New York,Albany,9.43,-1.0,1,0.5,Same Day,Joseph Howard,PayPal
ORD-110778,09-13-2023,N/A,JC-40007,Jeffrey Chandler,Consumer,OFF-SU-6900,Fellowes Portable Supplie, Office Supplies,Supplies,West,oregon,Eugene,21.7,,1,0.5,Standard Class,Connie Turner,Credit Card
ORD-111866,07-30-2024,2019-06-15,RB-46471,Renee Bruce,CORPORATE,OFF-LA-7487,Newell Deluxe Label,Office Supplies,Labels,East,Pennsylvania,Pittsburgh,358.66,9.05,8,0.2,Second Class,suzanne wood,PayPal
ORD-112123,2024-07-16,07-23-2024,SS-80381,Steve Sanchez,Corporate,OFF-ST-1595,Fellowes Standard Storage,Office Supplies,Storage, Central,Texas,Austin,124.9,29.76,1,0.0,second class,Felicia Krueger,Credit  Card
